,findSigExposures,best_columns,Cancer Types,Sample Names
86,0.24367704280155641,0,SP92947,Uterus-AdenoCA
87,0.2188715953307393,4,SP92947,Uterus-AdenoCA
88,0.5374513618677043,44,SP92947,Uterus-AdenoCA
89,0.07154701222133514,0,SP91730,Uterus-AdenoCA
90,0.04894675428360867,1,SP91730,Uterus-AdenoCA
91,0.14290978320948228,4,SP91730,Uterus-AdenoCA
92,0.10808819013695264,16,SP91730,Uterus-AdenoCA
93,0.6285082601486213,44,SP91730,Uterus-AdenoCA
94,0.07714602335691757,0,SP92332,Uterus-AdenoCA
95,0.1993862415821328,4,SP92332,Uterus-AdenoCA
96,0.7234677350609496,44,SP92332,Uterus-AdenoCA
97,0.1711779448621554,0,SP91746,Uterus-AdenoCA
98,0.1581453634085213,4,SP91746,Uterus-AdenoCA
99,0.6706766917293233,44,SP91746,Uterus-AdenoCA
100,0.20132013201320131,0,SP95406,Uterus-AdenoCA
101,0.33773377337733773,4,SP95406,Uterus-AdenoCA
102,0.46094609460946095,44,SP95406,Uterus-AdenoCA
103,0.05601262256283106,0,SP92364,Uterus-AdenoCA
104,0.3274237314584435,4,SP92364,Uterus-AdenoCA
105,0.6165636459787255,30,SP92364,Uterus-AdenoCA
106,0.2527131782945736,0,SP92723,Uterus-AdenoCA
107,0.30671834625322997,4,SP92723,Uterus-AdenoCA
108,0.4405684754521964,44,SP92723,Uterus-AdenoCA
109,0.11383928571428571,0,SP92787,Uterus-AdenoCA
110,0.2966517857142857,4,SP92787,Uterus-AdenoCA
111,0.5895089285714286,44,SP92787,Uterus-AdenoCA
112,0.17215189873417722,0,SP94060,Uterus-AdenoCA
113,0.11314508276533593,1,SP94060,Uterus-AdenoCA
114,0.23933787731256087,4,SP94060,Uterus-AdenoCA
115,0.09795520934761441,16,SP94060,Uterus-AdenoCA
116,0.3774099318403116,44,SP94060,Uterus-AdenoCA
117,0.16657810839532414,0,SP89651,Uterus-AdenoCA
118,0.01461211477151966,1,SP89651,Uterus-AdenoCA
119,0.2826780021253985,4,SP89651,Uterus-AdenoCA
120,0.05127523910733262,16,SP89651,Uterus-AdenoCA
121,0.4848565356004251,44,SP89651,Uterus-AdenoCA
122,0.09384804255899605,0,SP89443,Uterus-AdenoCA
123,0.259446187423271,1,SP89443,Uterus-AdenoCA
124,0.15182103396535263,4,SP89443,Uterus-AdenoCA
125,0.15059337061792388,16,SP89443,Uterus-AdenoCA
126,0.34429136543445643,44,SP89443,Uterus-AdenoCA
127,0.1102008032128514,0,SP95646,Uterus-AdenoCA
128,0.011726907630522088,1,SP95646,Uterus-AdenoCA
129,0.1717269076305221,4,SP95646,Uterus-AdenoCA
130,0.053172690763052206,16,SP95646,Uterus-AdenoCA
131,0.6531726907630522,44,SP95646,Uterus-AdenoCA
132,0.043428658351080014,0,SP95126,Uterus-AdenoCA
133,0.13998326741709766,1,SP95126,Uterus-AdenoCA
134,0.4896942500760572,4,SP95126,Uterus-AdenoCA
135,0.3268938241557651,16,SP95126,Uterus-AdenoCA
136,0.03691189187457964,0,SP94933,Uterus-AdenoCA
137,0.5345578579893028,4,SP94933,Uterus-AdenoCA
138,0.4285302501361176,30,SP94933,Uterus-AdenoCA
139,0.12243100411039343,0,SP90269,Uterus-AdenoCA
140,0.36479741632413387,4,SP90269,Uterus-AdenoCA
141,0.5127715795654727,44,SP90269,Uterus-AdenoCA
142,0.08067403896787784,0,SP89687,Uterus-AdenoCA
143,0.07962085308056872,1,SP89687,Uterus-AdenoCA
