,findSigExposures,best_columns,Cancer Types,Sample Names
209,0.45914899874784554,44,SP86989,Thy-AdenoCA
210,0.1481773202072826,0,SP89245,Thy-AdenoCA
211,0.47219437727181757,4,SP89245,Thy-AdenoCA
212,0.3796283025208999,44,SP89245,Thy-AdenoCA
213,0.47752603458374593,0,SP86836,Thy-AdenoCA
214,0.32363822112153945,14,SP86836,Thy-AdenoCA
215,0.19883574429471465,58,SP86836,Thy-AdenoCA
216,0.06459491617806161,0,SP85787,Thy-AdenoCA
217,0.21792784587820416,1,SP85787,Thy-AdenoCA
218,0.5990174148883515,4,SP85787,Thy-AdenoCA
219,0.11845982305538277,16,SP85787,Thy-AdenoCA
220,0.08794701130373052,0,SP85495,Thy-AdenoCA
221,0.5117049343697151,4,SP85495,Thy-AdenoCA
222,0.40034805432655446,44,SP85495,Thy-AdenoCA
223,0.04621936444289307,0,SP86425,Thy-AdenoCA
224,0.08270100128531922,1,SP86425,Thy-AdenoCA
225,0.7980394219837101,4,SP86425,Thy-AdenoCA
226,0.0730402122880776,16,SP86425,Thy-AdenoCA
227,0.1262183979412632,0,SP86130,Thy-AdenoCA
228,0.4465295370712273,4,SP86130,Thy-AdenoCA
229,0.42725206498750956,44,SP86130,Thy-AdenoCA
230,0.05721681719541827,0,SP86929,Thy-AdenoCA
231,0.9427831828045817,4,SP86929,Thy-AdenoCA
232,0.09537261361489384,0,SP87337,Thy-AdenoCA
233,0.5057049367943746,4,SP87337,Thy-AdenoCA
234,0.3989224495907317,44,SP87337,Thy-AdenoCA
235,0.05947022405114667,0,SP87446,Thy-AdenoCA
236,0.5399115207704046,4,SP87446,Thy-AdenoCA
237,0.4006182551784487,44,SP87446,Thy-AdenoCA
238,0.057954852110067685,0,SP85582,Thy-AdenoCA
239,0.4441124250012061,4,SP85582,Thy-AdenoCA
240,0.4979327228887261,44,SP85582,Thy-AdenoCA
241,0.09700539041974388,0,SP88322,Thy-AdenoCA
242,0.9029946095802561,4,SP88322,Thy-AdenoCA
243,0.058070236969361984,0,SP86775,Thy-AdenoCA
244,0.941929763030638,4,SP86775,Thy-AdenoCA
245,0.13412434514301882,0,SP105759,Thy-AdenoCA
246,0.40762269651838273,4,SP105759,Thy-AdenoCA
247,0.4582529583385985,44,SP105759,Thy-AdenoCA
248,0.21280010288094764,0,SP85487,Thy-AdenoCA
249,0.45034403031602754,4,SP85487,Thy-AdenoCA
250,0.3368558668030248,44,SP85487,Thy-AdenoCA
251,0.07752268877756141,0,SP88098,Thy-AdenoCA
252,0.22119028966392146,1,SP88098,Thy-AdenoCA
253,0.5459903413973937,4,SP88098,Thy-AdenoCA
254,0.15529668016112347,16,SP88098,Thy-AdenoCA
255,0.4460605127651635,1,SP87903,Thy-AdenoCA
256,0.1754536140256512,4,SP87903,Thy-AdenoCA
257,0.3784858732091853,16,SP87903,Thy-AdenoCA
258,0.069383811281491,0,SP86660,Thy-AdenoCA
259,0.13573470611263905,1,SP86660,Thy-AdenoCA
260,0.6528924211862402,4,SP86660,Thy-AdenoCA
261,0.1419890614196298,16,SP86660,Thy-AdenoCA
262,0.09708778511185678,0,SP85725,Thy-AdenoCA
263,0.14829756928698548,1,SP85725,Thy-AdenoCA
264,0.2306002543348105,4,SP85725,Thy-AdenoCA
265,0.1982690505594156,16,SP85725,Thy-AdenoCA
266,0.32574534070693156,44,SP85725,Thy-AdenoCA
267,0.10544520160781866,0,SP88776,Thy-AdenoCA
268,0.46071662576322614,4,SP88776,Thy-AdenoCA
269,0.4338381726289552,44,SP88776,Thy-AdenoCA
270,0.10808957442425843,0,SP87534,Thy-AdenoCA
271,0.506420262283676,4,SP87534,Thy-AdenoCA
272,0.3854901632920656,44,SP87534,Thy-AdenoCA
273,0.041336451923105796,0,SP88158,Thy-AdenoCA
274,0.24970281603156663,1,SP88158,Thy-AdenoCA
275,0.3326894930412114,4,SP88158,Thy-AdenoCA
276,0.3762712390041162,16,SP88158,Thy-AdenoCA
277,0.2649651579864272,0,SP88593,Thy-AdenoCA
278,0.28903141167241636,4,SP88593,Thy-AdenoCA
279,0.4460034303411564,44,SP88593,Thy-AdenoCA
280,0.0856599483204271,0,SP88050,Thy-AdenoCA
281,0.45135894464805504,4,SP88050,Thy-AdenoCA
282,0.46298110703151785,44,SP88050,Thy-AdenoCA
